customer_id,age,gender,county,tenure_months,n_deposits_12m,n_withdrawals_12m,total_deposits_kes,total_withdrawals_kes,avg_savings_balance_kes,n_loans_taken,avg_loan_size_kes,max_loan_size_kes,total_loaned_kes,on_time_repayment_rate,days_since_last_txn,mobile_money_ratio,group_member,_true_segment
MFI_KE_000024,26,F,Uasin Gishu,5,39,50,31201.63,25730.77,281.69,8,1961.42,3701.28,14501.59,0.525,1,0.9416,0,1
MFI_KE_000025,30,M,Kakamega,2,1,3,3321.32,3263.73,1694.63,0,0.0,0.0,0.0,1.0,365,0.8011,0,5
MFI_KE_000026,36,M,Garissa,26,35,48,10407.64,9742.31,1443.02,8,1712.36,2199.04,15437.76,0.7105,2,0.9314,0,1
MFI_KE_000027,26,F,Kisumu,2,26,52,14651.29,10871.9,575.87,3,1723.38,2475.24,5154.27,0.7697,5,0.8741,0,1
MFI_KE_000028,29,F,Meru,19,21,22,97657.45,94471.81,50649.17,1,55059.67,100849.82,61704.46,0.9674,9,0.7619,1,2
MFI_KE_000029,33,M,Kakamega,6,8,5,158061.88,146682.88,5681.98,3,31313.83,42166.6,97773.21,0.7687,28,0.4991,1,3
MFI_KE_000030,38,F,Kiambu,4,0,5,9819.27,8315.99,203.19,1,670.82,773.06,637.32,0.3651,103,0.3225,0,5
MFI_KE_000031,56,F,Embu,31,8,11,78252.38,81561.7,3983.5,3,33420.94,49378.98,83444.53,0.9268,20,0.4336,1,3
MFI_KE_000032,44,M,Migori,5,30,17,53294.58,44577.25,81676.82,0,0.0,0.0,0.0,0.9965,1,0.5403,0,2
MFI_KE_000033,29,M,Kakamega,5,23,19,72422.5,53349.51,29651.16,1,135714.29,233742.28,148515.41,0.9675,4,0.3195,0,2
MFI_KE_000034,26,F,Uasin Gishu,52,48,57,14247.87,11042.61,3866.41,9,6357.75,9854.35,50442.91,0.4085,9,0.656,0,1
MFI_KE_000035,25,F,Bungoma,6,27,24,26437.43,20798.74,13368.3,6,33141.26,61663.31,225947.21,0.9407,2,0.6498,0,2
MFI_KE_000036,35,M,Machakos,20,10,5,111167.7,78647.55,8916.83,3,31057.17,43309.97,89541.61,0.8347,3,0.4383,1,3
MFI_KE_000037,43,M,Nyeri,41,28,25,82564.03,65790.04,15261.97,4,45023.39,84196.95,155983.82,0.9662,5,0.7613,1,2
MFI_KE_000038,20,M,Nairobi,25,49,40,7479.42,7665.22,2318.43,5,1557.7,2081.01,9308.1,0.5848,1,0.7815,0,1
MFI_KE_000039,44,F,Kisumu,38,24,13,63705.33,60030.94,24028.61,3,62529.28,99988.0,222101.02,0.9936,21,0.7156,1,2
MFI_KE_000040,36,M,Murang'a,2,5,1,5507.65,3975.07,312.87,0,0.0,0.0,0.0,1.0,144,0.3953,0,5
MFI_KE_000041,29,M,Uasin Gishu,45,43,44,24217.89,21916.27,310.51,11,1436.76,1670.04,15148.17,0.5239,1,0.8691,1,1
MFI_KE_000042,30,F,Turkana,51,46,49,10033.55,8862.01,1882.61,9,2886.48,4898.82,27865.35,0.8499,5,0.9581,0,1
MFI_KE_000043,28,F,Nairobi,6,29,47,12714.73,9724.46,1567.33,7,2221.01,3167.97,16489.27,0.6156,0,0.8998,0,1
MFI_KE_000044,29,M,Kiambu,47,37,43,17070.23,12852.99,549.67,5,1308.23,2039.31,7249.82,0.4269,0,0.9144,0,1
MFI_KE_000045,30,M,Uasin Gishu,63,46,44,25823.11,20101.88,768.88,10,764.29,1001.01,7842.29,0.5436,1,0.9902,0,1
MFI_KE_000046,48,M,Kakamega,32,14,9,145049.05,111300.5,5168.5,4,42466.23,64279.11,136400.25,0.6078,2,0.4841,0,3
MFI_KE_000047,45,M,Kitui,20,78,69,345281.14,350186.78,86403.3,3,79519.88,156747.18,277491.14,0.6492,1,0.3853,1,4
MFI_KE_000048,22,M,Turkana,26,72,66,327420.18,248690.34,21640.17,3,354776.41,580864.01,903739.7,0.7436,0,0.7658,1,4
MFI_KE_000049,23,M,Mombasa,2,39,54,8743.64,9005.96,1421.68,9,2100.5,3013.75,22556.26,0.7307,0,0.7922,0,1
MFI_KE_000050,25,M,Kisii,46,43,63,35981.88,27042.43,2999.38,11,1121.5,1725.09,11424.03,0.4023,2,0.9997,0,1
MFI_KE_000051,47,M,Nyeri,8,4,5,889.01,878.53,1117.15,0,0.0,0.0,0.0,1.0,64,0.6583,0,5
MFI_KE_000052,25,M,Uasin Gishu,29,33,36,12659.35,11793.38,819.7,10,2222.33,2763.51,25117.7,0.8564,1,0.8976,0,1
MFI_KE_000053,35,F,Kilifi,24,19,16,33499.03,23977.32,6269.43,0,0.0,0.0,0.0,0.9888,1,0.5342,0,2
MFI_KE_000054,18,F,Mombasa,11,47,52,10262.37,10351.63,5614.94,8,2481.4,3849.67,23654.02,0.2448,5,0.6167,0,1
MFI_KE_000055,67,M,Migori,89,9,1,74733.47,56311.16,11652.26,3,42114.14,42397.58,149187.83,0.7538,1,0.6672,0,3
MFI_KE_000056,19,F,Kiambu,28,3,4,2976.57,2821.19,1052.29,1,908.36,1212.27,751.37,0.6227,107,0.5269,0,5
MFI_KE_000057,37,M,Nyeri,4,24,22,24984.74,18055.72,20037.41,1,37382.23,57983.39,34484.33,0.9499,1,0.5867,0,2
MFI_KE_000058,33,F,Nyeri,45,21,20,30014.17,24877.75,4301.12,4,20924.42,25871.5,69381.25,0.9562,10,0.2864,0,2
MFI_KE_000059,45,F,Laikipia,20,8,2,42819.28,44444.55,7099.32,3,50237.04,86491.5,121619.37,0.9147,4,0.5144,1,3
MFI_KE_000060,43,F,Homa Bay,17,6,4,48157.59,44464.23,2031.78,0,0.0,0.0,0.0,0.8912,5,0.3758,0,3
MFI_KE_000061,40,M,Bomet,34,4,4,15948.55,13712.94,1569.3,3,147056.44,227401.4,440239.51,0.7303,5,0.2844,1,3
MFI_KE_000062,28,M,Machakos,19,18,3,51499.5,51340.34,7379.03,1,49251.82,51237.56,41415.83,0.7843,9,0.5543,1,3
MFI_KE_000063,30,F,Uasin Gishu,43,35,44,14546.17,12477.4,7134.19,9,3741.98,7225.6,29907.42,0.4194,0,0.9073,1,1
MFI_KE_000064,44,F,Kisumu,1,3,4,1732.83,1647.25,985.9,0,0.0,0.0,0.0,1.0,117,0.5391,0,5
MFI_KE_000065,49,F,Embu,25,9,2,15872.08,11681.11,1127.67,1,66801.16,127789.58,66134.81,0.4339,7,0.5363,1,3
MFI_KE_000066,22,F,Kiambu,17,37,47,34494.23,30045.41,1834.72,11,3270.08,5824.84,34667.09,0.7598,1,0.8502,0,1
MFI_KE_000067,36,F,Kisii,1,2,3,5175.26,3997.43,1609.33,0,0.0,0.0,0.0,1.0,16,0.5597,0,5
MFI_KE_000068,31,F,Mombasa,28,45,49,8328.37,7404.95,1481.49,11,1445.74,1508.1,13127.93,0.4894,1,0.7831,0,1
MFI_KE_000069,49,F,Bomet,20,33,22,64576.6,50576.12,39172.65,1,46235.6,88510.41,38218.12,0.9702,2,0.7466,0,2
MFI_KE_000070,37,M,Embu,11,20,16,66296.72,55489.51,14397.2,2,29212.78,35494.12,51463.1,0.9457,5,0.7274,1,2
MFI_KE_000071,40,M,Embu,13,29,13,113742.22,112115.42,5768.95,4,78914.62,86477.37,324092.45,0.9112,7,0.8211,1,2
MFI_KE_000072,42,F,Meru,19,32,23,92109.32,91051.75,14957.33,5,55143.14,86411.37,280462.0,0.9831,12,0.7733,0,2
MFI_KE_000073,42,M,Homa Bay,6,23,11,67080.16,65712.16,9387.47,2,26780.45,43442.39,59716.36,0.9602,19,0.4901,1,2
MFI_KE_000074,34,F,Kiambu,51,32,48,5429.39,4087.81,4949.37,9,2659.92,3940.78,26004.38,0.741,0,0.8019,0,1
MFI_KE_000075,45,M,Kitui,8,7,8,399619.35,413542.72,7231.05,2,108198.84,159684.02,196088.95,0.7646,4,0.4591,1,3
MFI_KE_000076,34,M,Uasin Gishu,22,49,55,20945.64,19358.61,7170.26,7,1269.88,2387.09,9578.05,0.8237,3,0.8668,0,1
MFI_KE_000077,26,M,Kiambu,69,40,53,15241.58,11263.62,2393.5,8,1396.52,2269.27,10840.45,0.4026,10,0.815,0,1
MFI_KE_000078,35,F,Kitui,7,76,66,370983.08,273020.95,45879.77,2,441793.47,701425.64,866313.52,0.9126,0,0.6014,0,4
MFI_KE_000079,45,M,Homa Bay,19,68,74,179979.94,128507.26,113472.24,3,282669.13,387075.0,868359.87,0.6137,3,0.5069,1,4
MFI_KE_000080,39,F,Nakuru,33,32,55,9226.55,7733.1,2679.07,9,1956.96,2304.03,19826.97,0.6036,6,0.9421,0,1
MFI_KE_000081,44,F,Embu,25,78,69,342597.64,240028.6,25601.17,4,238246.73,289871.18,915276.53,0.8381,0,0.2116,1,4
MFI_KE_000082,24,M,Kericho,8,76,69,458253.89,389984.35,30901.41,6,164381.61,272906.09,988108.48,0.8947,0,0.5233,0,4
MFI_KE_000083,25,M,Nakuru,1,3,2,5190.27,3943.83,2260.69,0,0.0,0.0,0.0,1.0,26,0.3109,0,5
MFI_KE_000084,23,F,Kiambu,3,44,61,7602.28,6378.2,5520.42,5,3364.26,4033.11,17943.75,0.7418,0,0.8425,0,1
MFI_KE_000085,19,F,Kakamega,25,50,63,7635.88,7647.32,1197.53,8,895.1,1355.69,7616.94,0.5596,0,0.8944,0,1
MFI_KE_000086,21,M,Nakuru,6,34,53,5973.56,5830.14,1366.17,11,2035.03,3845.11,21263.74,0.7241,0,0.8741,0,1
MFI_KE_000087,33,M,Uasin Gishu,3,83,62,108818.02,113771.02,34358.72,3,91666.44,169490.55,321574.81,0.8951,1,0.5751,0,4
MFI_KE_000088,27,M,Nyeri,33,89,73,437416.99,329621.38,37144.87,5,144969.29,224645.81,711454.06,0.8625,1,0.2523,1,4
MFI_KE_000089,25,F,Bungoma,4,37,52,4285.04,3592.47,4702.01,4,2210.54,3542.14,8208.61,0.673,8,0.8729,0,1
MFI_KE_000090,37,M,Kericho,10,5,6,115384.43,119711.82,3762.24,0,0.0,0.0,0.0,0.7725,7,0.5417,0,3
MFI_KE_000091,23,F,Meru,6,1,3,7930.93,7935.49,609.06,0,0.0,0.0,0.0,1.0,71,0.8045,0,5
MFI_KE_000092,49,F,Migori,50,9,8,19404.3,17532.54,1725.61,0,0.0,0.0,0.0,0.8912,1,0.3584,1,3
MFI_KE_000093,28,F,Nairobi,8,33,49,9021.52,6520.76,372.9,9,1363.68,2003.6,10821.75,0.5464,0,0.649,0,1
MFI_KE_000094,33,M,Murang'a,44,11,5,16655.26,13674.31,2401.52,0,0.0,0.0,0.0,0.8151,3,0.3468,1,3
MFI_KE_000095,45,F,Kilifi,4,1,5,2500.95,2576.81,817.86,1,2876.58,3545.32,3070.93,0.3029,32,0.6926,0,5
MFI_KE_000096,25,F,Bomet,6,1,2,2911.2,2585.18,3098.1,0,0.0,0.0,0.0,1.0,57,0.7405,0,5
MFI_KE_000097,52,F,Kericho,92,15,7,76340.28,69112.78,2305.84,0,0.0,0.0,0.0,0.8807,5,0.5229,1,3
MFI_KE_000098,25,M,Kitui,1,0,5,14970.66,12034.96,1246.48,0,0.0,0.0,0.0,1.0,44,0.5808,0,5
MFI_KE_000099,25,M,Uasin Gishu,49,45,52,6841.49,6143.12,2362.19,10,1513.03,2556.76,14231.34,0.3938,1,0.8975,0,1
MFI_KE_000100,40,M,Turkana,1,2,1,10568.23,10878.53,411.96,0,0.0,0.0,0.0,1.0,88,0.5366,0,5
MFI_KE_000101,21,F,Mombasa,17,34,36,90448.81,69950.78,574.49,12,2146.54,3743.91,29349.64,0.4585,0,0.7973,0,1
MFI_KE_000102,18,F,Kakamega,8,1,1,3745.93,2900.61,333.74,1,1953.11,2990.81,2141.06,0.8626,17,0.5946,0,5
MFI_KE_000103,42,M,Garissa,7,22,24,55698.07,52028.35,29162.24,3,46490.56,70454.34,114018.2,0.9942,1,0.4689,1,2
MFI_KE_000104,47,F,Kiambu,2,28,23,98858.9,74575.2,7189.2,4,78776.82,92965.05,353911.19,0.9406,4,0.78,0,2
MFI_KE_000105,50,M,Bungoma,5,12,5,47523.64,38037.34,4736.74,2,122649.54,139315.67,258112.56,0.8852,33,0.6916,1,3
MFI_KE_000106,30,F,Turkana,17,12,6,105738.57,83008.96,3532.57,4,54776.7,99656.45,239024.64,0.3922,3,0.4186,1,3
MFI_KE_000107,49,F,Kitui,9,11,7,78683.02,70110.95,13554.65,0,0.0,0.0,0.0,0.6938,24,0.3834,1,3
MFI_KE_000108,56,F,Bungoma,9,8,13,127232.72,111972.19,1046.67,2,28199.97,43915.92,56612.15,0.8134,7,0.5159,1,3
MFI_KE_000109,37,F,Embu,12,23,20,90396.46,81839.95,32273.41,3,77656.58,128637.34,252215.82,0.9966,4,0.3882,0,2
MFI_KE_000110,29,F,Migori,1,3,0,7206.71,6318.27,486.46,0,0.0,0.0,0.0,1.0,11,0.7782,0,5
MFI_KE_000111,31,F,Migori,18,10,12,109923.36,98126.56,2529.97,4,53327.77,79946.31,175449.12,0.5699,18,0.3575,0,3
MFI_KE_000112,48,M,Homa Bay,19,21,20,159705.0,142798.4,15012.31,4,29278.84,43603.12,118494.49,0.9527,1,0.7803,0,2
MFI_KE_000113,25,M,Kilifi,14,5,8,57112.65,43380.38,7462.67,1,21803.55,39897.97,20767.62,0.6622,6,0.4452,1,3
MFI_KE_000114,46,F,Nairobi,4,1,4,2100.47,1732.53,509.61,0,0.0,0.0,0.0,1.0,40,0.566,0,5
MFI_KE_000115,18,F,Kiambu,8,33,48,20866.64,16886.74,4817.56,16,1494.44,2473.73,24149.13,0.7554,2,0.7028,1,1
MFI_KE_000116,41,F,Kisii,19,21,20,53490.87,55548.72,25316.5,2,28494.45,52633.65,62007.82,0.9925,5,0.8048,0,2
MFI_KE_000117,18,M,Kisumu,68,43,50,13841.94,12175.86,1720.0,5,1603.32,2056.53,9455.44,0.5452,3,0.7269,0,1
MFI_KE_000118,52,F,Turkana,2,2,4,4779.75,4340.08,3321.23,0,0.0,0.0,0.0,1.0,62,0.3634,0,5
MFI_KE_000119,33,M,Kilifi,3,8,5,57249.94,52945.61,1302.74,5,48690.14,91509.49,218659.58,0.8108,1,0.6218,1,3
MFI_KE_000120,33,M,Turkana,31,4,7,19312.85,14755.82,8877.92,2,102777.51,139553.99,165455.33,0.5215,8,0.5108,1,3
MFI_KE_000121,30,F,Turkana,64,2,5,37606.43,34701.78,3439.02,2,59675.15,60542.83,118571.94,0.8169,3,0.5637,1,3
MFI_KE_000122,18,F,Nakuru,20,50,58,66519.01,57971.5,1019.38,10,902.91,1047.65,8969.61,0.3765,5,0.9131,0,1
MFI_KE_000123,33,F,Bomet,3,5,2,16326.44,13104.46,296.17,0,0.0,0.0,0.0,1.0,39,0.5329,0,5
MFI_KE_000124,34,F,Kiambu,1,2,4,1396.58,1279.69,6983.82,0,0.0,0.0,0.0,1.0,34,0.3708,0,5
MFI_KE_000125,55,F,Machakos,3,87,69,178512.3,178563.78,18821.85,8,254908.73,442276.36,2373997.76,0.7417,2,0.8492,1,4
MFI_KE_000126,26,F,Uasin Gishu,12,53,56,36010.92,34669.74,3123.98,11,1520.42,2785.04,16444.76,0.681,4,0.8396,0,1
MFI_KE_000127,42,M,Nyeri,2,31,22,22356.66,20111.57,22912.6,3,32438.99,42284.85,82893.7,0.906,3,0.6179,0,2
MFI_KE_000128,34,F,Nyeri,23,23,18,45710.07,39288.47,16092.79,5,63285.64,93126.64,318152.56,0.9362,12,0.6136,1,2
MFI_KE_000129,39,M,Kilifi,1,3,4,10439.61,8746.05,280.11,0,0.0,0.0,0.0,1.0,13,0.5479,0,5
MFI_KE_000130,22,M,Kiambu,39,31,32,73175.88,52504.78,1089.67,6,2755.76,3723.87,18973.81,0.8231,2,0.8094,0,1
MFI_KE_000131,33,M,Meru,63,20,23,149919.15,148779.62,17599.95,2,51143.12,61232.44,113185.99,0.9514,10,0.9235,0,2
MFI_KE_000132,41,M,Turkana,8,83,68,170483.97,145366.14,79314.12,5,125011.49,224982.34,554092.81,0.876,7,0.6645,1,4
MFI_KE_000133,49,M,Murang'a,3,71,70,549539.29,556872.49,27329.36,7,263960.95,357019.79,1527630.86,0.7438,3,0.7849,0,4
MFI_KE_000134,39,F,Kitui,3,11,8,63933.13,57184.35,1489.2,1,54502.79,80227.55,55399.74,0.6345,29,0.6129,0,3
MFI_KE_000135,32,M,Bungoma,2,20,26,141591.53,115597.4,21971.37,6,46476.06,48535.04,292603.57,0.8768,9,0.681,0,2
MFI_KE_000136,49,M,Meru,35,8,5,27522.65,27336.53,3396.25,2,54026.75,76236.01,125911.1,0.9208,7,0.4578,0,3
MFI_KE_000137,30,F,Kiambu,20,40,48,12487.87,11527.38,808.7,11,3692.47,6675.57,42240.98,0.7814,1,0.8477,0,1
MFI_KE_000138,29,M,Bomet,10,39,58,3767.14,3432.33,6348.38,4,1784.34,2441.62,6113.22,0.3189,1,0.7974,0,1
MFI_KE_000139,23,F,Nairobi,3,37,42,23118.01,20417.51,2171.81,6,4199.66,6387.67,20316.26,0.5053,1,0.9443,0,1
MFI_KE_000140,40,M,Kisii,23,9,7,19075.58,15068.26,2569.66,3,27757.71,38296.79,94225.99,0.7231,12,0.3509,1,3
MFI_KE_000141,32,F,Nairobi,6,38,51,3201.79,3232.49,12434.2,6,4750.49,8277.68,33911.15,0.8126,2,0.8934,0,1
MFI_KE_000142,31,F,Kisumu,38,39,47,6013.71,5145.13,1097.94,4,3854.33,5114.01,15981.87,0.8806,0,0.854,0,1
MFI_KE_000143,26,F,Kisumu,6,59,58,2665.26,2104.3,1290.35,6,1482.8,2878.21,9918.68,0.8036,0,0.7972,0,1
MFI_KE_000144,51,M,Trans Nzoia,51,87,62,286999.0,294097.04,41167.5,9,84989.89,142037.23,715709.48,0.4294,0,0.3513,0,4
MFI_KE_000145,25,M,Kisumu,8,39,48,11750.17,10579.65,907.39,9,4202.13,6428.99,36820.73,0.6449,0,0.8182,0,1
MFI_KE_000146,44,F,Turkana,9,7,7,85925.29,72896.91,4560.8,2,32519.49,45491.07,64286.75,0.7409,10,0.5929,1,3
MFI_KE_000147,35,F,Turkana,14,86,64,676492.77,635146.34,50040.5,9,112020.46,149332.52,1166653.62,0.9446,2,0.5545,0,4
MFI_KE_000148,50,F,Garissa,13,6,1,206929.8,208278.79,1560.38,5,42425.82,54214.03,189565.9,0.9024,6,0.279,0,3
MFI_KE_000149,26,F,Kitui,3,7,5,62396.93,56802.59,2978.04,0,0.0,0.0,0.0,0.7152,7,0.4907,0,3
MFI_KE_000150,28,M,Kisumu,7,76,61,248338.13,190565.81,6982.57,6,114117.38,206547.25,769961.28,0.6733,1,0.6114,0,4
MFI_KE_000151,22,F,Kisumu,3,30,54,10468.12,7656.71,1742.03,6,1529.24,1745.02,10288.13,0.8447,11,0.9456,0,1
MFI_KE_000152,30,M,Machakos,2,3,2,4429.8,3467.59,343.38,1,1841.95,3377.54,1733.67,0.5645,10,0.5443,0,5
MFI_KE_000153,23,F,Kakamega,19,40,40,7077.71,6181.6,4010.7,12,781.01,1531.38,8389.51,0.5777,0,0.8567,0,1
MFI_KE_000154,50,M,Machakos,47,5,7,151484.45,140009.85,8367.58,1,75475.82,129108.14,81159.27,0.6608,10,0.7506,0,3
MFI_KE_000155,41,M,Homa Bay,26,95,61,246737.55,184861.61,37958.51,5,195763.96,265803.79,872982.07,0.6913,4,0.4441,1,4
MFI_KE_000156,44,M,Laikipia,52,68,64,136670.55,115255.36,94506.67,7,182062.79,287702.31,1444782.08,0.687,5,0.501,1,4
MFI_KE_000157,29,F,Embu,5,28,16,24135.2,18364.78,25238.4,3,41206.19,62863.79,111460.85,0.9861,11,0.0855,0,2
MFI_KE_000158,24,F,Murang'a,3,7,2,652.99,577.2,257.44,0,0.0,0.0,0.0,1.0,21,0.8877,1,5
MFI_KE_000159,30,M,Nairobi,2,41,41,24188.45,22379.99,3197.37,6,3127.43,4063.54,17855.11,0.4446,2,0.807,1,1
MFI_KE_000160,20,M,Migori,10,38,46,21453.69,20581.06,1082.39,6,3032.88,5634.57,17375.61,0.6472,2,0.8141,0,1
MFI_KE_000161,27,F,Kisumu,3,40,54,6945.25,5967.08,1128.83,12,1382.16,2646.13,18999.6,0.4074,3,0.7337,0,1
MFI_KE_000162,26,F,Kericho,27,21,26,35402.11,26216.9,9893.55,3,57298.33,91838.98,205035.12,0.9844,10,0.9693,1,2
MFI_KE_000163,20,F,Nakuru,7,2,2,2570.01,2297.29,120.19,0,0.0,0.0,0.0,1.0,51,0.531,0,5
MFI_KE_000164,39,M,Murang'a,19,5,6,50606.56,47500.41,2380.26,1,29452.7,41475.97,26304.21,0.8631,6,0.3743,1,3
MFI_KE_000165,46,F,Trans Nzoia,39,30,20,38114.13,30188.31,11755.33,2,32751.11,52574.2,64904.18,0.9992,42,0.6554,0,2
MFI_KE_000166,44,F,Nairobi,2,2,4,5794.65,4311.72,890.13,0,0.0,0.0,0.0,1.0,95,0.517,0,5
MFI_KE_000167,28,M,Mombasa,2,48,48,24807.29,21831.78,975.31,4,2142.74,2855.19,7140.55,0.6647,7,0.9539,0,1
MFI_KE_000168,18,M,Nairobi,3,2,4,7350.64,6570.93,1106.81,0,0.0,0.0,0.0,1.0,232,0.7568,0,5
MFI_KE_000169,36,M,Kericho,3,22,23,84484.22,74309.38,23925.8,2,17003.57,29207.15,31399.01,0.8368,1,0.8269,1,2
MFI_KE_000170,36,F,Homa Bay,5,32,27,11624.3,9058.47,10261.11,2,31905.02,44223.71,63229.22,0.8872,10,0.7646,0,2
MFI_KE_000171,65,M,Turkana,22,5,14,86824.81,73524.56,6597.41,0,0.0,0.0,0.0,0.7584,8,0.4151,1,3
MFI_KE_000172,36,M,Garissa,1,3,4,11010.09,9253.73,200.17,0,0.0,0.0,0.0,1.0,116,0.4025,0,5
MFI_KE_000173,31,F,Nairobi,29,45,39,12435.2,9020.25,1102.88,8,2144.65,2535.47,13831.68,0.8345,1,0.6464,0,1
MFI_KE_000174,30,M,Mombasa,15,37,40,13867.93,12914.78,1431.31,10,3084.56,5871.64,34588.23,0.7557,1,0.881,0,1
MFI_KE_000175,18,M,Nyeri,6,2,3,850.98,620.11,3888.93,0,0.0,0.0,0.0,1.0,127,0.5717,0,5
MFI_KE_000176,34,M,Nyeri,5,1,3,5084.0,3603.12,1280.74,2,1337.38,2093.65,2760.47,0.3721,141,0.158,0,5
MFI_KE_000177,46,M,Bungoma,5,7,5,294207.2,243819.79,3948.64,5,39609.51,73801.86,233841.83,0.4894,11,0.7498,1,3
MFI_KE_000178,23,F,Kitui,1,1,3,5714.89,5245.11,1177.74,0,0.0,0.0,0.0,1.0,32,0.7533,0,5
MFI_KE_000179,27,F,Murang'a,2,40,38,20687.6,15101.27,4058.62,14,3149.67,3530.25,43947.48,0.5883,0,0.7538,0,1
MFI_KE_000180,18,F,Embu,29,38,45,2205.92,1735.6,2117.8,14,2914.86,5086.99,34503.55,0.6092,2,0.9488,0,1
MFI_KE_000181,18,M,Nairobi,9,38,45,18101.0,18778.58,1103.74,7,3363.76,4611.61,27631.47,0.7829,2,0.8884,0,1
MFI_KE_000182,32,F,Kiambu,7,48,43,14168.76,13764.93,1454.3,9,3280.22,4739.1,34344.15,0.3863,3,0.9463,0,1
MFI_KE_000183,22,M,Migori,19,82,55,91443.18,83899.32,18949.39,5,131745.19,137568.86,788487.27,0.8902,3,0.7026,0,4
MFI_KE_000184,24,F,Kisii,1,0,3,1496.74,1405.35,315.8,0,0.0,0.0,0.0,1.0,21,0.4389,0,5
MFI_KE_000185,24,M,Kiambu,6,27,49,31188.4,26038.54,9080.49,9,2701.92,5082.88,23845.16,0.6695,1,0.8357,0,1
MFI_KE_000186,22,M,Mombasa,19,31,47,5410.48,5010.7,3098.46,5,1368.47,1464.65,8137.45,0.7097,0,0.9497,1,1
MFI_KE_000187,28,F,Kakamega,11,35,41,3764.98,2726.52,581.93,6,2557.5,2854.76,16179.56,0.6567,1,0.9886,0,1
