site_id,county,agro_ecological_zone,latitude,longitude,elevation_m,annual_rainfall_mm,soil_ph,soil_organic_carbon_pct,total_nitrogen_pct,phosphorus_ppm,potassium_cmol_kg,cec_cmol_kg,clay_pct,sand_pct,silt_pct
KE_00028,Embu,II,-0.737,37.7347,2214.1,2150.7,5.29,2.548,0.2317,6.52,0.909,12.43,40.2,28.04,31.76
KE_00029,Embu,II,-0.6065,37.5534,2220.3,1774.3,5.61,2.93,0.2918,8.52,0.413,31.31,45.93,36.26,17.82
KE_00030,Embu,II,-0.2299,37.7233,2415.3,2083.0,5.29,3.145,0.2871,13.18,0.16,14.9,28.69,26.11,45.2
KE_00031,Embu,II,-0.3136,37.4711,2400.9,1807.0,5.53,2.393,0.2241,8.79,0.592,9.6,44.29,18.87,36.84
KE_00032,Embu,II,-0.484,37.319,1840.6,1649.7,5.28,3.428,0.2946,5.08,0.402,21.36,36.72,24.12,39.16
KE_00033,Meru,II,-0.1368,37.476,2217.0,1623.5,5.32,1.787,0.1703,7.79,0.406,22.14,47.53,27.75,24.72
KE_00034,Meru,II,0.0748,37.8896,2372.9,2016.4,5.09,2.636,0.2206,5.63,0.825,16.77,43.19,22.6,34.21
KE_00035,Meru,II,0.2244,37.6835,2617.3,1515.6,5.48,2.225,0.1885,5.84,1.143,31.38,49.45,42.59,7.96
KE_00036,Meru,II,-0.2551,37.8101,2472.4,1743.0,5.74,2.394,0.2068,4.82,0.285,29.13,44.67,29.22,26.11
KE_00037,Meru,II,0.0447,37.7177,2429.3,2023.0,5.73,1.527,0.1995,4.05,0.76,23.3,58.67,34.91,6.42
KE_00038,Meru,II,0.0479,37.5186,1892.9,2178.9,4.73,2.026,0.1852,3.01,0.657,18.5,47.09,27.5,25.41
KE_00039,Meru,II,0.2393,37.7197,2408.9,1588.2,5.66,2.742,0.3266,5.15,0.29,23.1,47.83,31.72,20.45
KE_00040,Meru,II,0.1234,37.7213,2862.5,1650.1,4.88,2.263,0.2404,5.17,1.077,25.32,47.36,32.96,19.68
KE_00041,Meru,II,0.3457,37.4131,2503.0,1769.4,4.46,1.255,0.1315,12.1,0.873,32.23,44.74,33.8,21.46
KE_00042,Meru,II,-0.0285,37.7082,3092.9,1641.6,6.14,2.197,0.2255,4.37,0.051,22.33,65.05,20.87,14.08
KE_00043,Meru,II,0.2581,37.579,1749.7,1548.5,6.2,2.759,0.3276,6.53,0.682,19.56,33.38,33.7,32.92
KE_00044,Meru,II,0.0057,37.584,2485.6,1982.0,5.48,2.099,0.1867,5.73,0.482,19.59,41.57,24.69,33.75
KE_00045,Meru,II,-0.1122,37.5406,2432.6,1967.4,5.12,2.708,0.2757,6.16,0.363,12.67,22.72,29.13,48.15
KE_00046,Tharaka-Nithi,II,-0.3388,37.8676,2247.5,1542.6,5.38,2.285,0.2428,3.79,0.729,17.21,43.68,28.0,28.31
KE_00047,Tharaka-Nithi,II,-0.2716,37.9124,1827.8,2030.9,5.34,2.113,0.1667,32.63,0.323,30.33,23.73,13.45,62.82
KE_00048,Tharaka-Nithi,II,-0.3466,37.9206,1981.5,1585.1,5.09,1.845,0.167,9.34,0.407,21.46,45.24,23.07,31.69
KE_00049,Tharaka-Nithi,II,-0.1552,37.8704,1918.8,1588.3,5.69,2.28,0.2445,8.04,0.663,31.88,36.94,23.4,39.66
KE_00050,Tharaka-Nithi,II,-0.4205,38.1547,2036.5,2109.2,5.82,2.048,0.1981,10.99,0.247,29.48,27.64,15.73,56.63
KE_00051,Tharaka-Nithi,II,-0.0242,37.8854,2365.6,2049.0,5.38,2.554,0.2519,4.8,0.495,14.27,45.81,16.59,37.6
KE_00052,Tharaka-Nithi,II,0.1308,37.9976,2259.6,2088.5,5.79,3.233,0.2914,6.35,0.802,24.3,26.04,25.56,48.39
KE_00053,Tharaka-Nithi,II,-0.3852,37.9772,1744.2,1744.8,4.86,1.912,0.2068,24.34,0.524,22.57,46.43,32.25,21.31
KE_00054,Tharaka-Nithi,II,-0.1708,37.7912,2478.8,1952.3,5.12,2.383,0.2739,2.74,0.5,25.0,49.26,20.39,30.35
KE_00055,Tharaka-Nithi,II,-0.4344,38.0616,2389.9,1561.9,5.65,2.489,0.2727,11.4,0.755,29.72,53.5,24.82,21.68
KE_00056,Bungoma,II,0.7662,34.7143,2092.2,1526.8,5.45,1.775,0.1902,8.65,0.453,20.84,43.77,37.5,18.73
KE_00057,Bungoma,II,0.7665,34.1531,2616.6,1913.0,5.97,1.972,0.255,2.0,0.925,30.67,29.76,29.23,41.01
KE_00058,Bungoma,II,0.7475,34.6854,2370.4,1894.4,5.32,1.853,0.1979,10.26,0.557,21.85,40.56,16.76,42.68
KE_00059,Bungoma,II,0.4421,34.5299,1935.1,1787.6,5.47,2.396,0.2188,9.17,0.786,12.45,50.09,26.28,23.62
KE_00060,Bungoma,II,0.4657,34.6803,2558.3,1936.9,5.48,2.325,0.2574,10.12,0.474,19.5,44.17,31.61,24.23
KE_00061,Bungoma,II,0.5775,34.335,2537.7,1867.1,5.47,1.485,0.2096,6.63,0.836,30.27,50.47,27.07,22.46
KE_00062,Bungoma,II,0.3389,34.4526,2509.1,1831.6,5.32,2.463,0.227,6.06,0.626,25.31,45.31,28.3,26.39
KE_00063,Bungoma,II,0.5857,34.6894,2011.1,1996.6,5.45,2.479,0.3017,4.76,0.481,19.21,37.4,30.22,32.38
KE_00064,Trans Nzoia,II,0.9949,34.97,2849.0,1713.9,5.6,2.609,0.2657,7.83,0.612,13.84,50.97,32.52,16.51
KE_00065,Trans Nzoia,II,0.9738,34.9809,1990.0,2048.9,5.42,3.004,0.338,5.34,0.649,28.44,36.79,28.93,34.28
KE_00066,Trans Nzoia,II,1.1993,34.7195,2049.4,1543.0,5.19,2.334,0.2383,5.0,1.07,13.31,27.41,31.08,41.51
KE_00067,Trans Nzoia,II,0.8668,35.0543,2273.0,1591.3,5.92,2.289,0.258,21.14,0.332,12.85,39.46,27.68,32.85
KE_00068,Trans Nzoia,II,0.9838,35.0008,2598.7,1651.4,5.31,2.875,0.281,8.58,0.714,25.42,48.58,32.5,18.92
KE_00069,Trans Nzoia,II,1.0495,35.0544,2004.2,2026.7,5.38,2.587,0.244,6.82,0.242,22.77,39.55,33.88,26.56
KE_00070,Trans Nzoia,II,0.9531,34.6646,1852.5,1502.9,5.12,3.636,0.3284,11.19,0.706,16.2,44.62,27.97,27.41
KE_00071,Trans Nzoia,II,1.2455,35.0796,2371.8,1865.5,5.42,2.265,0.1875,3.83,0.53,32.79,50.13,24.0,25.87
KE_00072,Trans Nzoia,II,1.2299,35.0867,1993.2,1576.5,5.54,2.597,0.2978,13.11,0.466,29.9,46.58,42.53,10.89
KE_00073,Trans Nzoia,II,1.2804,34.9777,1893.2,1526.2,5.19,2.709,0.282,19.68,0.709,22.23,45.96,32.29,21.75
KE_00074,Trans Nzoia,II,0.9814,34.6977,2188.4,2135.8,5.75,1.468,0.1302,7.99,0.862,32.1,41.33,35.55,23.12
KE_00075,Kiambu,III,-1.081,37.004,1861.1,1469.0,5.15,1.331,0.1281,10.95,0.421,31.94,32.68,18.3,49.02
KE_00076,Kiambu,III,-1.5625,36.8908,1426.2,961.2,5.64,2.244,0.2151,4.63,0.669,14.05,53.58,35.33,11.09
KE_00077,Kiambu,III,-1.1685,36.8199,1185.0,1237.1,5.48,1.773,0.1702,4.9,0.112,16.68,48.39,43.33,8.28
KE_00078,Kiambu,III,-1.3655,36.6071,1657.3,1298.2,4.84,1.883,0.194,7.75,0.872,18.9,45.35,19.34,35.31
KE_00079,Kiambu,III,-1.1424,36.6998,1297.5,1314.1,4.72,0.982,0.1041,9.03,0.078,17.6,49.04,32.2,18.76
KE_00080,Kiambu,III,-1.2398,36.7449,1435.1,1504.0,5.21,1.579,0.1294,10.43,0.471,24.24,49.06,29.39,21.56
KE_00081,Kiambu,III,-1.1439,36.9468,1418.3,1482.7,6.1,0.86,0.0837,2.65,0.833,19.99,46.65,23.77,29.58
KE_00082,Kiambu,III,-0.9875,36.9381,1896.6,1486.2,5.64,1.454,0.1744,2.89,0.375,13.96,54.32,37.37,8.32
KE_00083,Kiambu,III,-1.4739,36.9947,1514.6,1283.6,6.6,1.479,0.1527,9.15,0.338,22.02,57.96,32.36,9.68
KE_00084,Murang'a,III,-0.8531,37.037,1638.3,1096.0,5.04,2.009,0.234,10.5,0.744,20.48,48.14,26.68,25.19
KE_00085,Murang'a,III,-0.7901,36.8974,1460.2,1061.6,5.26,1.672,0.1685,17.32,0.793,18.38,32.31,27.06,40.63
KE_00086,Murang'a,III,-0.9304,37.1227,1534.8,1220.8,5.83,0.963,0.1185,16.15,0.581,18.53,45.51,31.3,23.19
KE_00087,Murang'a,III,-0.6041,37.0976,1359.9,1415.3,5.43,1.039,0.1355,5.92,0.788,26.48,39.39,33.62,26.99
KE_00088,Murang'a,III,-0.5121,36.9158,1566.9,977.5,6.56,1.125,0.1263,5.65,0.713,29.35,57.99,17.24,24.77
KE_00089,Murang'a,III,-0.5661,36.7872,1322.2,1199.1,6.36,2.271,0.2391,8.37,0.466,12.26,49.51,20.29,30.2
KE_00090,Murang'a,III,-0.873,37.0104,1931.7,1242.5,5.08,1.732,0.1839,3.45,0.292,26.17,60.57,26.18,13.25
KE_00091,Murang'a,III,-0.7705,36.9379,1148.2,1492.9,5.33,1.668,0.1257,18.05,0.523,29.88,35.28,24.26,40.45
KE_00092,Murang'a,III,-0.7741,37.157,1440.3,1482.7,5.86,1.677,0.1396,9.45,0.746,15.58,37.88,23.07,39.05
KE_00093,Nyandarua,III,-0.171,36.2784,1770.9,1409.7,5.66,1.746,0.1933,7.09,0.05,27.32,26.65,38.33,35.02
KE_00094,Nyandarua,III,0.0861,36.559,1100.6,1045.0,5.49,1.426,0.1633,10.7,0.63,17.67,66.03,34.39,5.0
KE_00095,Nyandarua,III,-0.2574,36.6598,1535.5,1489.3,6.1,1.576,0.1474,6.54,0.583,19.53,47.41,32.6,19.98
KE_00096,Nyandarua,III,-0.2361,36.6149,1064.8,1368.6,6.2,2.058,0.1602,6.66,0.23,25.88,55.99,23.81,20.19
KE_00097,Nyandarua,III,-0.2864,36.6482,1668.4,1075.9,6.31,1.09,0.1036,4.89,0.473,27.7,48.4,34.14,17.46
KE_00098,Nyandarua,III,0.0772,36.3611,1698.5,1086.5,6.78,1.438,0.1588,4.97,0.503,30.22,41.93,40.24,17.83
KE_00099,Nyandarua,III,-0.1114,36.341,1190.4,1140.4,6.13,1.551,0.1362,6.94,1.155,17.88,41.33,33.13,25.54
KE_00100,Nyandarua,III,-0.1136,36.7009,1627.2,1437.6,5.65,1.786,0.2023,6.2,0.505,21.47,46.22,32.12,21.66
KE_00101,Nyandarua,III,-0.5448,36.5054,1523.5,1208.6,5.6,2.004,0.1675,6.86,0.665,26.76,54.82,27.14,18.04
KE_00102,Nyandarua,III,-0.1785,36.4386,1288.0,1170.3,5.69,1.356,0.1427,14.83,0.647,21.24,39.26,28.21,32.53
KE_00103,Nakuru,III,-0.1536,35.9665,1567.1,1256.0,5.5,1.712,0.1808,9.18,1.141,18.14,52.42,28.4,19.18
KE_00104,Nakuru,III,-0.0737,36.1562,1430.8,1370.9,5.84,1.823,0.1601,3.73,0.108,34.34,36.17,26.45,37.37
KE_00105,Nakuru,III,-0.2569,36.2024,1175.8,1116.4,5.81,1.935,0.1823,9.37,0.784,25.98,54.39,29.27,16.35
KE_00106,Nakuru,III,-0.243,35.9823,1595.3,1400.7,5.1,1.798,0.1901,8.07,1.25,25.39,30.91,33.27,35.81
KE_00107,Nakuru,III,-0.1095,36.181,1598.7,1030.5,5.69,1.931,0.2219,6.16,0.387,18.52,49.71,39.69,10.6
KE_00108,Nakuru,III,-0.4824,36.1467,1733.1,1153.8,6.28,1.02,0.0766,10.77,0.507,32.36,41.8,29.57,28.62
KE_00109,Nakuru,III,-0.5158,35.8159,1802.1,1367.6,5.47,1.672,0.1576,4.98,0.646,31.25,61.05,42.43,5.0
KE_00110,Nakuru,III,-0.1494,36.1689,1033.4,1098.2,6.22,2.046,0.2151,7.36,0.969,15.15,43.45,22.98,33.57
KE_00111,Kericho,III,-0.4544,35.2573,1512.2,1413.9,6.05,1.248,0.1263,3.15,0.596,27.1,52.01,30.49,17.5
KE_00112,Kericho,III,-0.2902,35.1547,1535.5,1322.6,5.99,1.367,0.1216,2.0,0.4,22.94,47.66,24.59,27.75
KE_00113,Kericho,III,-0.4081,35.1331,1457.7,1447.9,5.69,1.955,0.2256,3.68,0.116,19.12,50.71,29.22,20.07
KE_00114,Kericho,III,-0.3476,35.2097,1813.6,1219.7,5.26,1.532,0.1382,8.62,1.022,28.96,41.98,31.8,26.22
KE_00115,Kericho,III,-0.3057,35.2823,929.0,1004.6,5.94,1.092,0.118,4.26,0.559,24.82,60.32,35.08,5.0
KE_00116,Kericho,III,-0.3311,35.4974,1750.8,1303.6,5.53,1.162,0.1216,6.19,0.565,21.26,53.95,22.1,23.94
KE_00117,Kericho,III,-0.4123,35.3165,1659.7,1081.8,5.69,1.651,0.1929,8.65,0.391,19.02,39.49,28.6,31.91
KE_00118,Kericho,III,-0.3119,35.5212,1434.3,1245.8,5.42,1.295,0.1298,4.31,0.068,17.12,43.36,18.5,38.14
KE_00119,Kericho,III,-0.1764,35.1769,1179.2,1133.5,5.15,0.496,0.0614,8.77,0.32,26.73,42.82,28.19,28.98
KE_00120,Bomet,III,-0.867,35.2646,1488.7,1413.0,5.87,2.425,0.1914,7.83,0.66,25.13,45.05,29.86,25.1
KE_00121,Bomet,III,-0.6127,35.5569,1587.7,1035.7,6.09,2.075,0.2516,4.31,0.749,23.63,47.43,40.66,11.91
KE_00122,Bomet,III,-0.8305,35.0487,992.6,1338.2,5.46,2.119,0.1977,9.69,0.39,18.61,41.71,23.36,34.92
KE_00123,Bomet,III,-0.6705,35.5306,1631.1,1321.5,5.53,1.761,0.1854,8.73,0.402,29.17,36.03,25.19,38.79
KE_00124,Bomet,III,-0.8614,35.4586,1708.6,1307.4,6.48,1.2,0.0908,12.94,0.271,26.34,50.34,19.52,30.14
KE_00125,Bomet,III,-0.7441,35.4396,1605.4,1254.3,5.31,2.043,0.2069,8.13,0.584,20.87,37.46,26.45,36.09
KE_00126,Bomet,III,-0.8503,35.4546,1523.0,1473.1,5.95,1.226,0.1496,10.37,0.503,24.04,39.83,21.63,38.54
KE_00127,Bomet,III,-1.0678,35.2976,1509.0,1247.5,5.27,1.98,0.2462,10.85,0.438,22.5,41.26,22.86,35.87
KE_00128,Bomet,III,-0.7329,35.5165,1557.5,1042.5,5.9,1.676,0.1788,2.36,0.428,30.84,42.18,34.2,23.62
KE_00129,Bomet,III,-0.4692,35.175,1652.8,1346.4,6.0,1.63,0.1212,5.99,0.05,24.55,46.15,38.35,15.5
KE_00130,Bomet,III,-0.4414,35.3581,1332.6,966.7,5.17,1.355,0.1156,6.12,0.083,24.71,35.08,21.74,43.18
KE_00131,Nandi,III,0.3559,35.1442,1832.7,986.2,5.82,1.476,0.126,5.2,0.264,18.52,51.83,28.92,19.25
KE_00132,Nandi,III,0.2113,35.2749,1208.6,957.5,5.75,1.903,0.164,16.97,0.423,24.06,51.15,33.89,14.96
KE_00133,Nandi,III,0.3398,34.9792,1528.5,1495.4,5.87,1.449,0.1603,9.94,0.871,23.16,38.45,34.44,27.11
KE_00134,Nandi,III,-0.0692,34.9916,1921.7,1415.9,5.27,1.924,0.203,3.52,0.602,24.71,36.4,29.47,34.13
KE_00135,Nandi,III,0.2658,35.2636,1458.0,1217.8,5.66,1.919,0.2136,6.29,0.229,28.29,42.32,22.83,34.85
KE_00136,Nandi,III,0.3497,35.1457,1242.6,1257.8,5.17,2.476,0.2595,6.66,0.514,30.38,69.7,31.14,5.0
KE_00137,Nandi,III,0.1588,35.1906,1604.5,1272.7,5.5,1.254,0.1449,14.54,0.628,31.09,61.29,28.2,10.52
KE_00138,Nandi,III,-0.0831,34.9084,1523.7,1121.0,5.23,1.618,0.1529,5.25,0.05,22.75,44.89,21.97,33.15
KE_00139,Nandi,III,0.0207,35.1755,1169.5,966.5,5.86,1.093,0.0994,5.38,0.855,25.26,51.79,28.21,20.0
KE_00140,Nandi,III,0.0148,35.2379,1860.0,1369.6,5.77,1.73,0.1491,10.69,0.814,15.71,35.39,26.67,37.94
KE_00141,Nandi,III,0.0779,35.1942,1992.0,1434.6,5.81,1.703,0.1669,4.89,0.076,17.93,45.61,25.47,28.93
KE_00142,Nandi,III,0.1848,35.2241,1292.1,1000.0,6.36,1.567,0.1388,2.35,1.084,26.45,46.5,37.54,15.96
KE_00143,Uasin Gishu,III,0.5068,35.3128,1402.9,1417.6,6.3,2.066,0.2371,9.97,0.05,25.94,46.56,27.87,25.57
KE_00144,Uasin Gishu,III,0.6836,35.4121,1608.0,1318.6,5.4,2.058,0.1823,12.37,0.728,26.35,49.13,23.51,27.36
KE_00145,Uasin Gishu,III,0.6351,35.3831,1423.0,1329.7,5.88,1.293,0.1308,6.33,0.414,17.95,43.84,22.45,33.7
KE_00146,Uasin Gishu,III,0.231,35.302,1451.5,1035.9,5.7,1.528,0.1275,2.66,0.409,17.39,37.48,33.81,28.71
KE_00147,Uasin Gishu,III,0.4753,34.9694,1377.1,1076.7,5.71,0.939,0.1115,2.0,0.646,32.8,54.91,29.47,15.62
KE_00148,Uasin Gishu,III,0.6361,35.124,1538.1,1409.5,6.25,1.138,0.127,6.88,0.158,17.83,41.73,24.33,33.94
KE_00149,Uasin Gishu,III,0.3916,35.4382,1295.2,931.3,5.71,1.982,0.1532,11.45,0.383,18.05,42.57,18.58,38.85
KE_00150,Uasin Gishu,III,0.4436,35.4012,1731.6,1379.1,6.08,1.509,0.1865,8.19,0.454,7.37,43.93,37.96,18.11
KE_00151,Uasin Gishu,III,0.6598,35.4554,926.0,1449.7,6.12,1.681,0.175,6.42,0.487,22.0,49.81,17.89,32.3
KE_00152,Uasin Gishu,III,0.4324,35.0869,1704.5,1190.5,5.57,1.441,0.158,13.02,0.581,26.02,36.43,17.12,46.45
KE_00153,Uasin Gishu,III,0.5715,35.1347,1249.5,1388.5,5.15,2.219,0.1876,5.73,0.751,18.74,43.7,28.29,28.02
KE_00154,Uasin Gishu,III,0.6261,35.193,1636.8,912.3,5.25,1.513,0.1191,29.69,0.796,21.88,42.9,28.16,28.95
KE_00155,Vihiga,III,0.0347,34.9568,1179.9,1083.7,5.57,1.693,0.1516,2.8,0.262,20.43,34.7,19.56,45.75
KE_00156,Vihiga,III,-0.052,34.8317,1333.4,1356.2,6.44,1.836,0.2314,9.54,1.086,24.23,54.23,21.46,24.31
KE_00157,Vihiga,III,0.1218,34.7445,1581.4,1260.6,5.68,1.94,0.2497,7.81,0.202,29.75,55.79,38.29,5.92
KE_00158,Vihiga,III,0.1744,34.5921,1515.6,1256.7,5.32,1.609,0.1908,9.08,0.342,29.46,37.81,23.06,39.13
KE_00159,Vihiga,III,0.2422,34.8891,1892.1,1414.7,5.69,1.56,0.1382,4.59,0.913,25.93,46.48,29.97,23.55
KE_00160,Vihiga,III,0.0495,34.5249,1295.3,1256.8,6.15,1.721,0.154,7.02,0.646,31.7,36.21,30.0,33.79
KE_00161,Vihiga,III,-0.3136,34.7147,1420.6,1428.9,5.75,1.929,0.1671,4.26,0.929,16.98,57.67,35.35,6.98
KE_00162,Vihiga,III,-0.0344,34.8792,1169.2,1122.2,5.61,1.722,0.2059,5.02,0.917,30.2,46.87,28.42,24.71
KE_00163,Vihiga,III,-0.0161,34.8361,1140.1,1111.7,5.61,1.597,0.1667,27.04,0.523,21.49,39.62,33.48,26.9
KE_00164,Vihiga,III,-0.201,34.9635,1381.6,1430.6,5.96,1.777,0.1495,19.17,0.468,10.4,58.51,34.48,7.01
KE_00165,Vihiga,III,0.0423,34.5554,1521.6,1437.6,6.14,1.865,0.2209,2.98,0.653,16.84,36.76,24.99,38.25
KE_00166,Vihiga,III,-0.1322,34.9298,2108.6,1109.1,6.11,1.339,0.1634,2.0,0.912,21.0,50.33,39.68,9.99
KE_00167,Vihiga,III,-0.0225,34.7421,1379.7,1123.2,5.96,1.998,0.1624,4.89,0.359,26.87,55.7,38.38,5.92
KE_00168,Kakamega,III,0.1227,34.5723,1595.8,1328.0,5.88,1.913,0.2123,16.76,0.17,18.41,46.83,40.62,12.56
KE_00169,Kakamega,III,0.354,34.6666,1748.9,1290.6,5.1,2.021,0.213,7.12,0.361,8.14,46.26,35.57,18.17
KE_00170,Kakamega,III,0.4044,34.7409,1522.0,1352.0,5.87,1.936,0.1638,3.2,0.294,28.35,52.5,32.44,15.06
KE_00171,Kakamega,III,-0.0767,34.7408,1829.9,1060.5,6.04,1.482,0.1676,6.73,0.714,26.64,36.99,29.35,33.66
KE_00172,Kakamega,III,0.5549,34.758,1693.0,1439.2,5.49,0.739,0.074,3.57,0.347,24.26,51.48,23.45,25.07
KE_00173,Kakamega,III,0.4487,35.0422,1462.1,1397.0,5.76,0.89,0.0862,14.78,0.221,29.31,38.05,23.2,38.74
KE_00174,Kakamega,III,0.1765,34.8918,1376.3,1154.5,6.19,1.538,0.1756,16.05,0.887,14.89,49.17,38.64,12.19
KE_00175,Kakamega,III,0.2379,34.6728,1084.7,1112.3,5.68,1.613,0.133,17.31,0.447,18.14,58.61,20.24,21.15
KE_00176,Kakamega,III,0.1577,34.6526,1811.9,1188.0,5.3,1.683,0.176,6.64,0.646,23.18,38.5,38.49,23.01
KE_00177,Busia,III,0.6662,34.2533,1374.8,1105.6,6.55,1.943,0.2139,25.45,0.356,13.33,56.44,28.99,14.56
KE_00178,Busia,III,0.5532,34.0856,1574.3,1270.8,6.28,1.267,0.1421,19.36,0.597,26.37,42.42,29.83,27.76
KE_00179,Busia,III,0.037,34.1974,1674.4,1505.9,5.09,2.088,0.1944,13.18,0.728,21.56,43.06,26.28,30.66
KE_00180,Busia,III,0.2489,34.0542,1523.1,1226.8,6.21,1.907,0.1785,2.33,0.586,19.15,55.61,16.26,28.13
KE_00181,Busia,III,0.401,34.3305,1380.1,1045.5,6.13,1.432,0.1782,13.15,0.709,41.56,44.58,30.68,24.74
KE_00182,Busia,III,0.4604,33.7047,1521.3,1343.1,5.87,0.934,0.1085,12.56,0.348,21.83,43.77,38.41,17.82
KE_00183,Busia,III,0.5813,34.192,1862.3,1192.3,6.01,0.951,0.1078,5.19,0.742,25.37,49.85,18.3,31.85
KE_00184,Busia,III,0.3249,33.9949,1041.0,1111.0,6.11,2.179,0.2525,5.14,0.081,20.72,44.7,25.43,29.87
KE_00185,Busia,III,0.6992,34.0142,1354.9,1078.8,5.53,1.848,0.1912,4.65,0.841,9.63,49.41,39.01,11.59
KE_00186,Busia,III,0.6278,34.3851,1374.2,995.0,5.29,1.397,0.1201,14.33,0.403,23.55,45.31,38.49,16.21
KE_00187,Busia,III,0.5172,34.2287,1599.5,1153.8,5.96,1.812,0.1671,6.81,1.083,21.39,50.8,28.07,21.13
KE_00188,Busia,III,0.5038,34.0463,1768.3,1339.5,6.23,1.768,0.1789,5.96,0.691,25.81,47.86,34.41,17.73
KE_00189,Busia,III,0.4263,34.3538,1231.6,1420.4,5.59,1.707,0.1533,5.62,0.904,20.04,44.92,40.3,14.78
KE_00190,Siaya,III,0.0556,34.2967,1654.9,978.6,6.08,1.798,0.1491,4.85,0.653,29.2,41.06,14.86,44.07
KE_00191,Siaya,III,-0.0333,34.1096,1667.1,1149.3,5.45,2.305,0.2421,10.32,0.316,20.79,44.95,32.19,22.86
